Cantidad,Name,Price (€),Uniform Price (€),Super
8 litros,"Agua CAUTIVA, garrafa 8 litros",0.84,0.11,Eroski
5000 ml,Agua mineral natural Dia garrafa 5 l,0.65,0.13,Dia
5 litros,"Agua mineral EROSKI, garrafa 5 litros",0.74,0.15,Eroski
1471 ml,Agua mineral natural Dia botella 1.5 l,0.25,0.17,Dia
"1,5 litros","Agua mineral CAUTIVA, botella 1,5 litros",0.25,0.17,Eroski
"1,5 litros","Agua mineral EROSKI, botella 1,5 litros",0.39,0.26,Eroski
"1,25 litros","Agua con gas EROSKI, botella 1,25 litros",0.41,0.33,Eroski
2 litros,"Agua mineral FUENTE LIVIANA, botella 2 litros",0.65,0.33,Eroski
10000 ml,Agua mineral natural Aquarel pack 2 x 5 l,3.5,0.35,Dia
5000 ml,Agua mineral natural Aquarel garrafa 5 l,1.75,0.35,Dia
"6,25 litros","Agua mineral FONT VELLA, garrafa 6,25 litros",2.29,0.37,Eroski
9077 ml,Agua mineral natural Aquarel pack 6 x 1.5 l,3.54,0.39,Dia
1513 ml,Agua mineral natural Aquarel botella 1.5 l,0.59,0.39,Dia
"1,5 litros","Agua mineral natural AQUAREL, botella 1,5 litros",0.59,0.39,Eroski
"1,5 litros","Agua mineral BETELU, botella 1,5 litros",0.6,0.4,Eroski
"1,5 litros","Agua mineral ALZOLA, botella 1,5 litros",0.62,0.41,Eroski
1512 ml,Agua mineral natural Aquabona botella 1.5 l,0.65,0.43,Dia
9070 ml,Agua mineral natural Aquabona pack 6 x 1.5 l,3.9,0.43,Dia
50 cl,"Agua mineral natural CAUTIVA, botellín 50 cl",0.22,0.44,Eroski
500 ml,Agua mineral natural Dia botella 50 cl,0.22,0.44,Dia
8933 ml,Agua mineral natural Lanjarón pack 6 x 1.5 l,4.02,0.45,Dia
1489 ml,Agua mineral natural Lanjarón botella 1.5 l,0.67,0.45,Dia
9061 ml,Agua mineral natural Bezoya botella 6 x 1.5 l,4.44,0.49,Dia
8939 ml,Agua mineral natural Font Vella pack 6 x 1.5 l,4.38,0.49,Dia
1490 ml,Agua mineral natural Font Vella botella 1.5 l,0.73,0.49,Dia
1510 ml,Agua mineral natural Bezoya botella 1.5 l,0.74,0.49,Dia
"1,5 litros","Agua mineral FONT VELLA, botella 1,5 litros",0.73,0.49,Eroski
"1,5 litros","Agua mineral BEZOYA, botella 1,5 litros",0.74,0.49,Eroski
1490 ml,Agua mineral natural Cabreiroá botella 1.5 l,0.73,0.49,Dia
"1,5 litros","Agua mineral LANJARON, botella 1,5 litros",0.73,0.49,Eroski
8939 ml,Agua mineral natural Cabreiroá pack 6 x 1.5 l,4.38,0.49,Dia
2 litros,"Agua mineral FONT VELLA, botella 2 litros",1.04,0.52,Eroski
2000 ml,Agua mineral natural Font Vella botella 2 l,1.04,0.52,Dia
12000 ml,Agua mineral natural Font Vella pack 6 x 2 l,6.24,0.52,Dia
1491 ml,Agua mineral natural alcalina ph9 Ursu9 botella 1.5 l,0.79,0.53,Dia
8943 ml,Agua mineral natural alcalina ph9 Ursu9 pack 6 x 1.5 l,4.74,0.53,Dia
4981 ml,Agua mineral natural Solán de Cabras garrafa 5 l,2.69,0.54,Dia
1500 ml,Agua mineral natural Solán de Cabras botella 1.5 l,0.87,0.58,Dia
9000 ml,Agua mineral natural Solán de Cabras botella 6 x 1.5 l,5.22,0.58,Dia
"1,5 litros","Agua mineral SOLAN DE CABRAS, botella 1,5 litros",0.89,0.59,Eroski
50 cl,"Agua mineral EROSKI, botellín 50 cl",0.36,0.72,Eroski
329 ml,Agua mineral natural Dia botella 33 cl,0.24,0.73,Dia
33 cl,"Agua mineral EROSKI, botellín tapón sport 33 cl",0.24,0.73,Eroski
750ml,"PRODUCTO ALCAMPO Agua mineral natural de mineralización débil, con tapón sport botella 75 cl.",0.63,0.84,Alcampo
33 cl,"Agua ALZOLA, botellín 33 cl",0.34,1.03,Eroski
150ml,"COSMIA Agua de peinado con acabado brillante, efecto natural y agradable aroma frutal COSMIA 150 ml.",1.57,1.05,Alcampo
500 ml,Agua mineral natural Aquarel botella 50 cl,0.59,1.18,Dia
50 cl,"Agua mineral FONT VELLA, botellín 50 cl",0.64,1.28,Eroski
500 ml,Agua mineral natural Font Vella botella 50 cl,0.66,1.32,Dia
331 ml,Agua mineral natural Font Vella botella 33 cl,0.45,1.36,Dia
330ml,FONT VELLA Agua mineral natural botella de 33 cl,0.47,1.42,Alcampo
500ml,URSU Agua mineral natural 50 cl.,0.73,1.46,Alcampo
329 ml,Agua mineral natural Aquarel botella 33 cl,0.54,1.64,Dia
1976 ml,Agua mineral natural Aquarel pack 6 x 33 cl,3.24,1.64,Dia
200ml,MUSTELA Agua de colonia sin alcohol con extractos naturales de miel y camomila MUSTELA 200 ml.,6.5,3.25,Alcampo
300ml,PIRULO Mini polos de agua con zumos frutas tropicales y aromas naturales 6 x 50 ml.,3.49,11.63,Alcampo
1,"L'ORÉAL PARIS Unbelieva brown tono 108 Dark brunette Gel de cejas de larga duración, risistente al agua, con acabado natural.",12.67,12.67,Alcampo
1,"L'ORÉAL PARIS  Unbelieva brown Tono 103 Warm Blonde Gel de cejas de larga duración, reistente al agua y con acabado natural.",14.77,14.77,Alcampo
125ml,NATURAL PET CARE ME GUSTA Agua de colonia Fresh para perros y gatos 125 ml.,2.49,19.92,Alcampo
