Cantidad,Name,Price (€),Uniform Price (€),Super
30 g,"Jugoso al horno costilla a la barbacoa MAGGI, sobre 30 g",1.28,1.28,Eroski
580g,LA COSTEÑA Frijoles negros refritos LA COSTEÑA lata de 580 g.,2.94,5.07,Alcampo
580g,LA COSTEÑA Frijoles negros enteros LA COSTEÑA 580 g.,2.98,5.14,Alcampo
560g,LA COSTEÑA Frijoles bayos refritos LA COSTEÑA 580 g.,3.24,5.79,Alcampo
1.7 kg,"Costilla de cerdo entera al vacío XXL EROSKI, bolsa aprox. 1.7 kg",10.0,5.88,Eroski
1000g,"Tiras de costilla de cerdo blanco, ideales para guisos",5.95,5.95,Alcampo
450 g,Costillas troceadas de cerdo Selección de Dia bandeja 450 g aprox.,2.86,6.35,Dia
400 g,"Costilla adobada ibérica en trozo EROSKI, bandeja aprox. 400 g",2.88,7.2,Eroski
750g,Tira de costilla entera de cerdo,5.44,7.25,Alcampo
900 g,Tira de costilla de cerdo envasada al vacío Selección de Dia bolsa 900 g aprox.,6.56,7.29,Dia
600 g,"Costillas de conejo EROSKI, bandeja aprox. 600 g",4.79,7.98,Eroski
1100g,Tira de cositlla de cerdo adobada envasada al vacio CAYSAN,9.85,8.95,Alcampo
1.14 kg,"Costilla trozo carnosa Duroc EROSKI Natur, bandeja aprox. 1.14 kg",10.2,8.95,Eroski
600 g,"Costilla tiras de cerdo EROSKI, bandeja aprox. 600 g",5.39,8.98,Eroski
1100 g,Tira de costilla de cerdo sabor barbacoa envasada al vacío Selección de Dia bolsa 1.1 Kg aprox.,9.89,8.99,Dia
400g,"EL CHICO Costilla salada al vacio, elaborada sin gluten ni derivados lacteos",3.6,8.99,Alcampo
900g,EMCESA Tira de costilla en adobo estilo Argentino,8.09,8.99,Alcampo
600g,"Costilla ibérica adobada en tira, sin gluten DERAZA",5.39,8.99,Alcampo
1200g,Costillar ibérico entero marinado en salsa chimichurri y sin gluten DERAZA,10.79,8.99,Alcampo
600g,"Costillas adobadas de cerdo ibérico, envasadas al vacio DERAZA",5.59,9.32,Alcampo
450 g,"Costilla troceada de cerdo EROSKI, bandeja 450 g",4.25,9.44,Eroski
500 g,"Tira de costilla de cerdo, al peso, compra mínima 500 g",4.73,9.46,Eroski
220g,LA COSTEÑA Jalapeño rodajas LA COSTEÑA 220 gr.,2.13,9.68,Alcampo
400 g,"Costilla de cerdo ibérico EROSKI, bandeja aprox. 400 g",3.92,9.8,Eroski
250g,LA COSTEÑA Salsa mexicana casera a base de tomates y verduras especial fajitas LA COSTEÑA 250 g.,2.48,9.92,Alcampo
1.1 kg,"Tira de costilla de lomo de cerdo EROSKI, bandeja aprox. 1.1 kg",10.95,9.95,Eroski
500g,"ALCAMPO CULTIVAMOS LO BUENO Costillas, en palos, de cerdo raza Duroc",4.98,9.95,Alcampo
500 g,"Costilla de Ternera E. OKELA E.Natur, al corte, compra mínima 500 g",4.98,9.96,Eroski
500g,"Torreznos frescos para freir, elaborados sin gluten ni lactosa SEGUNDO SANZ 500 g.",4.99,9.98,Alcampo
500g,HEMOSA Costillas de cerdo con salsa barbacoa HEMOSA 500 g.,5.5,11.0,Alcampo
220g,LA COSTEÑA Chile chiplote adobado LA COSTEÑA 220 g.,2.48,11.27,Alcampo
330g,ALBE Queso tierno Costeño ALBE 330 g.,3.75,11.36,Alcampo
450g,"Oreja de cerdo cocida, elaborada sin gluten y sin lactosa SEGUNDO SANZ 450 g.",5.15,11.44,Alcampo
500g,ALCAMPO CULTIVAMOS LO BUENO Trozos de costilla de cebo ibérico de cerdo,5.73,11.45,Alcampo
450g,"Oreja de cerdo cocida y adobada, elaborada sin gluten y sin lactosa SEGUNDO SANZ 450 g.",5.25,11.67,Alcampo
1 kg,"Tira costilla de cerdo sabor finas hierbas EROSKI, sobre aprox. 1 kg",11.95,11.95,Eroski
500 g,"Tira de costilla cerdo sabor barbacoa EROSKI, sobre aprox. 500 g",5.98,11.96,Eroski
200g,LA COSTEÑA Nachos fritos de maíz LA COSTEÑA bolsa de 200 g.,2.46,12.3,Alcampo
500 g,"Costilla EUSKO LABEL BIGA, al corte, compra mínima 500 g",6.48,12.96,Eroski
300g,"SEÑORA JULIA Costilla de cerdo adobada, sin gluten y sin lactosa, envasada al vacio SEÑORA JULIA 300 g.",3.99,13.3,Alcampo
250g,RANA Clásicas Raviolis de pasta fresca rellenos de carne de costillas con salsa barbacoa 250 g.,3.35,13.4,Alcampo
250 g,"Pasta fresca ravioli con costilla bbq RANA, bolsa 250 g",3.43,13.72,Eroski
145ml,LA COSTEÑA Salsa chiplote (chile) LA COSTEÑA 145 g.,2.38,16.41,Alcampo
200g,"EL CHICO Centro de panceta en taco, desalada y lista para cocinar 200 g.",3.7,18.5,Alcampo
