Name,Price (€),Cantidad,Uniform Price (€),Super
PRODUCTO ECONÓMICO ALCAMPO Arroz redondo de categoria primera 1 kg.,1.14,1000g,1.14,Alcampo
PRODUCTO ECONÓMICO ALCAMPO Arroz largo de categoria primera 1 kg.,1.14,1000g,1.14,Alcampo
PRODUCTO ALCAMPO Arroz redondo extra PRODUCTO ALCAMPO paquete de 1 kg.,1.24,1000g,1.24,Alcampo
PRODUCTO ALCAMPO Arroz redondo 500 g.,0.62,500g,1.24,Alcampo
PRODUCTO ALCAMPO Arroz largo PRODUCTO ALCAMPO paquete de 1 kg.,1.28,1000g,1.28,Alcampo
Arroz extra Arrozona de Dia bolsa 1 Kg,1.3,1000 g,1.3,Dia
"Arroz extra EROSKI basic, paquete 1 kg",1.3,1 kg,1.3,Eroski
PRODUCTO ALCAMPO Arroz largo 500 g.,0.69,500g,1.38,Alcampo
Arroz largo de primera categoría Arrozona de Dia bolsa 1 Kg,1.38,1000 g,1.38,Dia
"Arroz largo EROSKI BASIC, paquete 1 kg",1.38,1 kg,1.38,Eroski
LA FALLERA Arroz redondo paquete 2 kg.,2.98,2000g,1.49,Alcampo
PRODUCTO ALCAMPO Arroz largo vaporizado paquete de 1 kg.,1.53,1000g,1.53,Alcampo
Arroz vaporizado Arrozona de Dia bolsa 1 Kg,1.57,1000 g,1.57,Dia
"Arroz vaporizado EROSKI, paquete 1 kg",1.57,1 kg,1.57,Eroski
NOMEN Arroz largo 1 kg.,1.62,1000g,1.62,Alcampo
LA FALLERA Arroz redondo paquete de 1 kg.,1.65,1000g,1.65,Alcampo
"Arroz redondo LA FALLERA, paquete 1 kg",1.72,1 kg,1.72,Eroski
"Arroz integral EROSKI, paquete 1 kg",1.73,1 kg,1.73,Eroski
Arroz integral Arrozona de Dia paquete 1 Kg,1.73,1000 g,1.73,Dia
"Arroz D.O.Valencia EROSKI, paquete 1 kg",1.83,1 kg,1.83,Eroski
"Arroz redondo SOS, bolsa 2 kg",3.66,2 kg,1.83,Eroski
SOS Arroz redondo 1 kg.,1.84,1000g,1.84,Alcampo
LA FALLERA Arroz largo paquete de 1 kg.,1.84,1000g,1.84,Alcampo
"Arroz redondo SOS, paquete 1 kg",1.84,1 kg,1.84,Eroski
Arroz redondo SOS paquete 1 Kg,1.84,1000 g,1.84,Dia
NOMEN Arroz redondo 950 gr+ 50 gr,1.85,1000g,1.85,Alcampo
NOMEN Arroz integral en atmósfera modificada 1 kg.,1.88,1000g,1.88,Alcampo
LA CIGALA Arroz largo 1 kg.,1.93,1000g,1.93,Alcampo
Arroz vaporizado Brillante caja 1 Kg,1.93,1000 g,1.93,Dia
