Name,Price (€),Cantidad,Uniform Price (€),Super
"PRODUCTO ALCAMPO Bolsas de basura blanca, con autocierre especial baño capacidad 10 litros 45 x 47 cm. 40 uds.",1.34,40 por envase,0.03,Alcampo
Bolsas de basura autocierre perfumadas 10 lt Super Paco de Dia 30 unidades,1.01,34 uds,0.03,Dia
"Bolsa de basura con cierre 30 l. EROSKI, paquete 40 uds",1.7,40 uds,0.04,Eroski
PRODUCTO ALCAMPO Bolsas de basura azul con autorcierre y antigoteo capacidad 30 litros 55 x 60 cm 40 uds.,1.69,40 por envase,0.04,Alcampo
PRODUCTO ECONÓMICO ALCAMPO Bolsas de basura negra con autocierre capacidad 30 l 25 uds.,1.05,25 por envase,0.04,Alcampo
PRODUCTO ALCAMPO Bolsas de basura amarilla con autocierre capacidad 30 litros 55 x 60 cm. 30 uds.,1.64,30 por envase,0.05,Alcampo
Bolsa de basura con autocierre azul 30 lt Super Paco de Dia 30 unidades,1.59,32 uds,0.05,Dia
Bolsa de basura con autocierre amarilla 30 lt Super Paco de Dia 30 unidades,1.65,28 uds,0.06,Dia
"PRODUCTO ALCAMPO Bolsas de basura, lila con autocierre y aroma lavanda capacidad 30 litros 55 x 60 cm 20 uds.",1.44,20 por envase,0.07,Alcampo
PRODUCTO ALCAMPO Bolsas de basura verde con autocierre capacidad 30 litros 55 x 60 cm 20 uds.,1.59,20 por envase,0.08,Alcampo
PRODUCTO ALCAMPO Bolsas de basura azul. con autocierre especial cocina capacidad 20 l. 20 uds.,1.69,20 por envase,0.08,Alcampo
"PRODUCTO ALCAMPO Bolsas de basura amarilla, con autocierre especial envases capacidad 20 litros 45 x 55 cm 20 uds.",1.69,20 por envase,0.08,Alcampo
Bolsa de basura con autocierre perfumada 30 lt Super Paco de Dia 20 unidades,1.5,19 uds,0.08,Dia
PRODUCTO ALCAMPO Bolsas de basura blanca con autocierre capacidad 30 litros 50 x 75 cm 20 uds.,1.84,20 por envase,0.09,Alcampo
PRODUCTO ALCAMPO Bolsas de basura con autocierre capacidad. azul 50 litros 70 x 75 cm 15 uds.,1.59,15 por envase,0.11,Alcampo
Bolsa de basura con autocierre 50 lt Super Paco de Dia 15 unidades,1.6,15 uds,0.11,Dia
Bolsa de basura compostable con autocierre 10 lt Super Paco de Dia 15 unidades,1.75,15 uds,0.12,Dia
PRODUCTO ALCAMPO Bolsas de basura antigoteo especiales para cubos comunidad gris. capacidad 100 l. 84 x 105 cm 10 uds.,1.24,10 por envase,0.12,Alcampo
HANDY BAG Bolsas de basura perfumadas especiales para baño 15 bolsas 10 L.,2.23,15 por envase,0.15,Alcampo
HANDY BAG Bolsas de basura antigoteo capacidad 30 L. 55 x 63 cm 15 uds.,2.19,15 por envase,0.15,Alcampo
ECOFAMI Bolsas de basura compostables 43 x 48 cm 10 litros  20 uds.,2.95,20 por envase,0.15,Alcampo
HANDY BAG Bolsas de basura perfumada capacidad 30 L. 55 x 63 cm 15 Uds.,2.28,15 por envase,0.15,Alcampo
Bolsa de basura comunidad 120 lt Super Paco de Dia 10 unidades,1.55,10 uds,0.16,Dia
"RELEVO Bolsa de basura 100% reciclado, 15 unidades, capacidad de 10 a 20 l.",2.46,15 por envase,0.16,Alcampo
"PRODUCTO ALCAMPO Bolsas biodegradables 10 litros, autocierre blancas 20 uds.",3.45,20 por envase,0.17,Alcampo
HANDY BAG Bolsas de basura antigoteo 15 bolsas 20 L.,2.99,15 por envase,0.2,Alcampo
RELEVO Bolsa basura 100 % reciclada amarilla 30 l. 15 uds.,3.03,15 por envase,0.2,Alcampo
RELEVO Bolsas basura 100 % reciclada 30 l. 15 uds.,3.18,15 por envase,0.21,Alcampo
HANDY BAG Bolsas de basura recicladas 15 bolsas 30 L.,3.15,15 por envase,0.21,Alcampo
HANDY BAG Bolsas de basura cubo alto capacidad 20/30 L 47 x 78 cm. 15 uds.,3.51,15 por envase,0.23,Alcampo
"PRODUCTO ALCAMPO Bolsas de basura con autocierre especial cubo comunidad gris, autocierre capacidad 100 l. 10 uds.",2.38,10 por envase,0.24,Alcampo
HANDY BAG Bolsas de basura ultra resistente 15 bolsas 30 L.,3.7,15 por envase,0.25,Alcampo
PRODUCTO ALCAMPO Bolsas de basura especial jardín capacidad 100 l. 84 x 105 cm 10 uds.,2.64,10 por envase,0.26,Alcampo
HANDY BAG Bolsas de basura con fijación elástica capacidad 30 L 55 x 63 cm 15 uds.,3.85,15 por envase,0.26,Alcampo
HANDY BAG Bolsas de basura antigoteo 10 bolsas 50 L.,3.03,10 por envase,0.3,Alcampo
ECOFAMI Bolsas de basura compostables 60 x 75 cm. 35 litros 15 uds.,4.45,15 por envase,0.3,Alcampo
RELEVO Bolsas basura 100 % reciclada 50 l. 15 uds.,3.08,10 por envase,0.31,Alcampo
HANDY BAG Bolsas de basura para hostelería 10 bolsas 120 L.,3.3,10 por envase,0.33,Alcampo
RELEVO Bolsas basura 100 % reciclada 100 l. 10 uds.,4.93,10 por envase,0.49,Alcampo
HANDY BAG Bolsas de basura de jardín capacidad 100 l. 82 x 90 cm 10 uds.,6.55,10 por envase,0.66,Alcampo
