Name,Price (€),Cantidad,Uniform Price (€),Super
"Café soluble natural NESCAFÉ, caja 10 sobres",1.33,10 sobres,0.13,Eroski
"Café molido natural EROSKI BASIC, paquete 250 g",2.1,250 g,8.4,Eroski
"Café molido natural BONKA, paquete 250 g",2.35,250 g,9.4,Eroski
"Café molido natural descafeinado EROSKI, paquete 250 g",2.45,250 g,9.8,Eroski
"Café en grano natural EROSKI BASIC, paquete 500 g",5.1,500 g,10.2,Eroski
"Café molido natural BONKA, paquete 500 g",5.65,500 g,11.3,Eroski
PRODUCTO ALCAMPO Café en grano 100 % Arábica 500 g.,5.99,500g,11.98,Alcampo
"Café en grano natural FORTALEZA, paquete 500 g",6.49,500 g,12.98,Eroski
"Café molido natural FORTALEZA, paquete 500 g",6.52,500 g,13.04,Eroski
"Café molido natural FORTALEZA, paquete 250 g",3.29,250 g,13.16,Eroski
"Café molido natural OXFAM INTERMON, paquete 250 g",3.29,250 g,13.16,Eroski
"Café molido natural MARCILLA, paquete 500 g",6.99,500 g,13.98,Eroski
"Café molido natural BAQUE, paquete 500 g",7.09,500 g,14.18,Eroski
"Café molido natural BAQUÉ, paquete 250 g",3.69,250 g,14.76,Eroski
"Café molido natural BAQUÉ Gran Sabor, paquete 250 g",3.69,250 g,14.76,Eroski
"Café molido natural MARCILLA, click pack 250 g",3.85,250 g,15.4,Eroski
"Café en grano natural BAQUÉ, doypack 500 g",7.99,500 g,15.98,Eroski
OQUENDO Café en grano de agricultura ecológica 100% arábica 250 g.,4.0,250g,16.0,Alcampo
"Café en grano natural BONKA, paquete 500 g",8.35,500 g,16.7,Eroski
BONKA Café en grano Arábica 100 % 500 g.,9.07,500g,18.14,Alcampo
LAVAZZA Café en grano natural arábica intenso espresso 500 g.,13.58,500g,27.16,Alcampo
STARBUCKS Café en grano espresso arábica dark roast 450 g.,12.63,450g,28.07,Alcampo
"STARBUCKS Café en grano arábica medium roast I7, 450 g.",13.16,450g,29.24,Alcampo
"Café soluble natural NESCAFÉ, frasco 200 g",6.65,200 g,33.25,Eroski
"Café soluble natural NESCAFÉ, frasco 300 g",10.49,300 g,34.97,Eroski
"Café soluble natural NESCAFÉ VitalÍssimo, frasco 200 g",7.05,200 g,35.25,Eroski
