Name,Price (€),Cantidad,Uniform Price (€),Super
PITAS Huevos de codorniz frescos 18 uds.,2.0,18 por envase,1.33,Alcampo
LOS FRESQUITOS Huevos de gallinas en jaulas acondicionadas de categoría A y clase M 10 uds.,1.53,10 por envase,1.84,Alcampo
PITAS Huevos de gallinas en jaulas acondicionadas clase M 12 Unidades,1.89,12 por envase,1.89,Alcampo
AUCHAN Huevos de gallinas sueltas en el gallinero clase M y cat. A 30 uds. Producto Alcampo,4.83,30 por envase,1.93,Alcampo
"Huevo de codorniz HOBEA, caja 12 uds",1.93,12 uds,1.93,Eroski
DAGU Huevos de gallinas en jaulas acondicionadas clase M y cat. A 30 uds.,4.85,30 por envase,1.94,Alcampo
Huevos frescos categoría A clase M Dia bandeja 24 unidades,3.88,24 uds,1.94,Dia
PITAS Huevos de gallinas en jaulas acondicionadas clase L 12 uds.,1.99,12 por envase,1.99,Alcampo
AUCHAN Huevos de gallinas sueltas en el gallinero clase M y cat. A 12 uds. Producto Alcampo,2.02,12 por envase,2.02,Alcampo
"Huevos frescos M EROSKI, cartón 12 uds",2.04,12 uds,2.04,Eroski
Huevos frescos categoría A clase M Dia bandeja 12 unidades,2.06,12 uds,2.06,Dia
PITAS Huevos de gallinas en jaulas acondicionadas clase L / M y cat. A  12 uds.,2.09,12 por envase,2.09,Alcampo
DAGU Huevos de gallinas en jaulas acondicionadas clase L y cat. A 12 uds.,2.1,12 por envase,2.1,Alcampo
"Huevos L EROSKI, cartón 18 uds",3.2,18 uds,2.13,Eroski
AUCHAN Huevos de gallinas sueltas en el gallinero clase L y cat. A 12 uds. Producto Alcampo,2.22,12 por envase,2.22,Alcampo
"Huevo fresco M suelo EROSKI, cartón 1 docena",2.24,1 docena,2.24,Eroski
"Huevo fresco L EROSKI, cartón 12 uds.",2.24,12 uds.,2.24,Eroski
"Huevo suelo M/L EROSKI, cartón 18 uds",3.41,18 uds,2.27,Eroski
Huevos frescos categoría A clase L Dia bandeja 12 unidades,2.31,12 uds,2.31,Dia
AUCHAN Huevos de gallinas sueltas en el gallinero clase L y cat. A 6 uds. Producto Alcampo,1.16,6 por envase,2.32,Alcampo
"Huevo fresco L suelo EROSKI, cartón 1 docena",2.41,1 docena,2.41,Eroski
Huevos frescos de gallinas criadas en suelo categoría A clase M/L Dia bandeja 12 unidades,2.5,12 uds,2.5,Dia
PITAS Huevos de gallinas sueltas en el gallinero clase M y cat. A 12 uds.,2.54,12 por envase,2.54,Alcampo
Espaguetis al huevo Al Diante Dia bolsa 500 g,1.38,500 g,2.76,Dia
Tagliata al huevo Al Diante Dia bolsa 500 g,1.38,500 g,2.76,Dia
Huevos frescos maíz categoría A clase M/L Grupo de lucas caja 12 unidades,2.91,12 uds,2.91,Dia
GRANJAS VILLARREAL Huevos de gallinas camperas clase M-L y cat. A 12 uds.,2.99,12 por envase,2.99,Alcampo
Huevos camperos categoría A clase M/L Dia bandeja 10 unidades,2.54,10 uds,3.05,Dia
"Huevo M suelo HOBEA, cartón 12 uds.",3.05,12 uds.,3.05,Eroski
PITAS Huevos de codorniz cocidos y pelados 18 uds.,4.68,18 por envase,3.12,Alcampo
CORRAL DE MONEGROS Huevos de gallinas camperas frescos clases M y L y cat. A  6 uds.,1.59,6 por envase,3.18,Alcampo
"Huevo fresco suelo XL HOBEA, cartón 12 uds",3.21,12 uds,3.21,Eroski
"Huevo campero País Vasco M/L EROSKI Natur, cartón 6 uds",1.62,6 uds,3.24,Eroski
DAGU Huevos de gallinas camperas clase M-L y cat. A 6 uds.,1.62,6 por envase,3.24,Alcampo
"Clara de huevo pasteurizada HOBEA, botella 1 litro",3.29,1 litro,3.29,Eroski
DAGU Huevos de gallinas sueltas en el gallinero clase M-L y cat. A 6 uds.,1.65,6 por envase,3.3,Alcampo
CORRAL DE MONEGROS Huevos de gallinas camperas clase M-L y cat. A 12 uds.,3.32,12 por envase,3.32,Alcampo
"Huevo L suelo HOBEA, cartón 12 uds",3.32,12 uds,3.32,Eroski
"Huevo fresco XL EROSKI, cartón 12 uds",3.32,12 uds,3.32,Eroski
PITAS Huevos de gallinas camperas clase M-L y cat. A 12 uds.,3.35,12 por envase,3.35,Alcampo
Flan de huevo con caramelo Caprichoso Dia pack 4 x 100 g,1.35,399 g,3.38,Dia
AUCHAN Huevos de gallinas sueltas en el gallinero clase L - XL y cat. A 12 uds. Producto Alcampo,3.41,12 por envase,3.41,Alcampo
Huevos frescos categoría A clase XL Dia bandeja 6 unidades,1.72,6 uds,3.44,Dia
"Huevo cocido EROSKI, cartón 6 uds",1.75,6 uds,3.5,Eroski
DAGU Huevos de gallinas en jaulas acondicionadas frescos clase XL y cat. A 10 uds.,2.95,10 por envase,3.54,Alcampo
PAZO DE VILANE Huevos de gallinas camperas clase M y cat. A 12 uds.,3.62,12 por envase,3.62,Alcampo
"Huevo fresco XL HOBEA, cartón 12 uds",3.77,12 uds,3.77,Eroski
LA HUERTA DE GALLOCANTA Huevo cocidos medianos 6 unidades,1.89,6 por envase,3.78,Alcampo
Espaguetis al huevo Gallo bolsa 450 g,1.71,450 g,3.8,Dia
Claras de huevo pasteurizadas Ovonatur botella 500 ml,1.95,500 ml,3.9,Dia
ALCAMPO CULTIVAMOS LO BUENO  Huevos de gallinas camperas clase L y cat. A 12 uds.,3.95,12 por envase,3.95,Alcampo
AUCHAN Huevos de gallinas sueltas en el gallinero clase L - XL y cat. A 6 uds. Producto Alcampo,1.99,6 por envase,3.98,Alcampo
PAZO DE VILANE Huevos de gallinas camperas clase L y cat. A 6 uds.,2.05,6 por envase,4.1,Alcampo
Bizcochos con huevo Galleteca de Dia bolsa 400 g,1.65,400 g,4.13,Dia
"Huevo fresco campero EUSKO LABEL EUSKABER, cartón 10 uds",3.52,10 uds,4.24,Eroski
Flan de huevo doble 0% Caprichoso Dia pack 2 x 100 g,0.85,200 g,4.25,Dia
LA HUERTA DE GALLOCANTA Huevos de gallinas sueltas en el gallinero xl 10 uds.,3.59,10 por envase,4.31,Alcampo
RUJAMAR Huevos de producción ecológica de categoría A y clase M-L 8 uds.,2.9,8 por envase,4.35,Alcampo
ALCAMPO CULTIVAMOS LO BUENO  Huevos de gallinas camperas clase L y cat. A 6 uds.,2.18,6 por envase,4.36,Alcampo
"Huevo campero HOBEA, cartón 6 uds",2.23,6 uds,4.46,Eroski
"Huevo de caserío EUSKO LABEL BASERRIKO EUSKABER, cartón 6 uds",2.28,6 uds,4.56,Eroski
ALCAMPO CULTIVAMOS LO BUENO Huevos de gallinas camperas clase XL y cat. A 10 uds.,3.81,10 por envase,4.57,Alcampo
MONEGROS Huevos de gallinas camperas cocidos con cáscara clase M-L y cat. A 6 uds.,2.29,6 por envase,4.58,Alcampo
AUCHAN Tallarines frescos de pasta al huevo 250 g. Producto Alcampo,1.15,250g,4.6,Alcampo
Flan de huevo al baño maría Reina pack 6 x 100 g,2.95,600 g,4.92,Dia
"Huevo fresco del País Vasco EROSKI NATUR BIO, cartón 6 uds",2.49,6 uds,4.98,Eroski
Huevos ecológicos categoría A clase M/L Dia bandeja 6 unidades,2.54,6 uds,5.08,Dia
Flan de huevo al baño maría Dhul pack 4 x 110 g,2.65,440 g,6.02,Dia
RUJAMAR Huevos de producción ecológica de categoria A y clase L-XL 6 uds.,3.05,6 por envase,6.1,Alcampo
Flan de huevo rico en proteí­nas Reina pack 2 x 160 g,1.99,320 g,6.22,Dia
EMMA GIORDANI Tagliatelle de pasta fresca al huevo EMMA GIORDANI 250 g.,1.59,250g,6.36,Alcampo
EMMA GIORDANI Tagliolini de pasta fresca al huevo EMMA GIORDANI 250 g.,1.59,250g,6.36,Alcampo
"AUCHAN Raviolis de pasta fresca al huevo, rellenos de requesón y espinacas 250 g. Producto Alcampo",1.68,250g,6.72,Alcampo
AUCHAN Ravioli de pasta fresca al huevo rellenos de una mezcla de queos 250 g. Producto Alcampo,1.68,250g,6.72,Alcampo
AUCHAN Tortellini frescos de pasta al huevo rellenos de jamón 250 g. Producto Alcampo,1.78,250g,7.12,Alcampo
"CHOVI Salsa Allioli tradicional (aceite, ajo fresco, huevos, sal y limón) CHOVI 180 ml.",1.3,180ml,7.22,Alcampo
"Clara huevo HOBEA, botella 300 ml",2.25,300 ml,7.5,Eroski
"AUCHAN Tortellinis frescos al huevo, rellenos de bacon y queso 250 g. Producto Alcampo",1.9,250g,7.6,Alcampo
Merluza rebozada al huevo MSC Mari Marinera de Dia caja 340 g,2.79,340 g,8.21,Dia
ALCAMPO GOURMET Raviolis de pasta fresca al huevo rellenos de calabacín y gambas ALCAMPO GOURMET 250 g.,2.69,250g,10.76,Alcampo
"ALCAMPO GOURMET Mezzelune de pasta fresca la huevo, rellenos de calabaza, mascarpone y salvia ALCAMPO GOURMET 250 g.",2.69,250g,10.76,Alcampo
"RANA Ravioli de pasta fresca al huevo, rellenos de crema de calabaza y cebolla caramelizada 250 g.",2.95,250g,11.8,Alcampo
"RANA Raviolis de pasta fresca al huevo, rellenos de boletus edulis 250 g.",2.95,250g,11.8,Alcampo
"RANA Ravioli de pasta fresca al huevo, rellenos de atún y tomate RANA Clásica 250 g.",3.11,250g,12.44,Alcampo
"RANA Raviolis de pasta fresca al huevo, rellenos de riquísima carne de pollo asado RANA Clásica 250 g.",3.11,250g,12.44,Alcampo
"RANA Tortellini de pasta fresca al huevo, rellenos de jamón y queso 250 g.",3.2,250g,12.8,Alcampo
RANA Tortellini de pasta fresca al huevo a la boloñesa 250 g.,3.2,250g,12.8,Alcampo
"RANA Tortellini de pasta fresca la huevo, rellenos de gorgonzola DOP y nueces RANA Gourmet 250 g.",3.99,250g,15.96,Alcampo
"RANA Soles pasta fresca al huevo, rellenos de trufa blanca, setas y queso RANA Gourmet 250 g.",3.99,250g,15.96,Alcampo
Mini huevos de chocolate rellenos de crema leche y avellana Temptation de Dia bolsa 150 g,2.5,150 g,16.67,Dia
Huevos de chocolate relleno de leche y avellanas Kinder bolsa 200 g,4.39,200 g,21.95,Dia
Huevos de chocolate blanco relleno de leche y avellanas Kinder bolsa 200 g,4.39,200 g,21.95,Dia
Huevo de chocolate con sorpresa Temptation de Dia caja 60 g,1.79,60 g,29.83,Dia
Huevos de chocolate más peluche Nestlé caja 80 g,3.99,80 g,49.88,Dia
Huevos de chocolate con sorpresa Kinder estuche 126 g,6.69,126 g,53.1,Dia
Huevos de chocolate con sorpresa 3 unidades Kinder caja 60 g,3.49,60 g,58.17,Dia
Huevo de chocolate maxi con sorpresa Kinder 100 g,5.99,100 g,59.9,Dia
Huevo de chocolate con sorpresa Kinder 20 g,1.3,20 g,65.0,Dia
Huevos de chocolate con sorpresa Kinder blister 3 x 20 g,3.99,60 g,66.5,Dia
Huevo de chocolate con sorpresa joy Kinder 20 g,1.5,20 g,75.0,Dia
