Name,Price (€),Cantidad,Uniform Price (€),Super
L.R. Leche desnatada 6 x 1 l.,4.62,6000ml,0.77,Alcampo
Leche desnatada Dia Láctea brik 1 l,0.79,1000 ml,0.79,Dia
Leche desnatada Dia Láctea brik 6 x 1 l,4.74,6000 ml,0.79,Dia
"Leche desnatada BOMILK, brik 1 litro",0.79,1 litro,0.79,Eroski
L.R. Leche de vaca semidesnatada 1 l.,0.8,1000ml,0.8,Alcampo
AUCHAN Leche semidesnatada de vaca 6 x 1l. Producto Alcampo,4.96,6000ml,0.83,Alcampo
Leche semidesnatada Dia Láctea brik 6 x 1 l,4.98,6000 ml,0.83,Dia
Leche semidesnatada Dia Láctea brik 1 l,0.83,1000 ml,0.83,Dia
"L.R. Leche desnatada de vaca, sin lactosa 1l.",0.84,1000ml,0.84,Alcampo
"L.R. Leche desnatada de vaca, sin lactosa 6 x 1l.",5.04,6000ml,0.84,Alcampo
"Leche sin lactosa desnatada EROSKI, brik 1 litro",0.88,1 litro,0.88,Eroski
Leche desnatada sin lactosa Dia Láctea brik 1 l,0.88,1000 ml,0.88,Dia
"AUCHAN Leche desnatada de vaca, sin lactosa 6 x 1l. Producto Alcampo",5.28,6000ml,0.88,Alcampo
"AUCHAN Leche desnatada de vaca, sin lactosa 1 l. Producto Alcampo",0.88,1000ml,0.88,Alcampo
Leche desnatada sin lactosa Dia Láctea brik 6 x 1 l,5.28,6000 ml,0.88,Dia
L.R. Leche de vaca entera 1l.,0.89,1000ml,0.89,Alcampo
"Leche semidesnatada sin lactosa EROSKI, brik 1 litro",0.91,1 litro,0.91,Eroski
Leche semidesnatada sin lactosa Dia Láctea brik 6 x 1 l,5.46,6000 ml,0.91,Dia
Leche semidesnatada sin lactosa Dia Láctea brik 1 l,0.91,1000 ml,0.91,Dia
"AUCHAN Leche semidesnatada de vaca, sin lactosa 6 x 1l. Producto Alcampo",5.46,6000ml,0.91,Alcampo
"AUCHAN Leche semidesnatada de vaca, sin lactosa 6 x 1l. Producto Alcampo",5.46,6000ml,0.91,Alcampo
"AUCHAN Leche semidesnatada de vaca, sin lactosa 1 l. Producto Alcampo",0.91,1000ml,0.91,Alcampo
AUCHAN Leche entera de vaca 6 x 1 l. Producto Alcampo,5.51,6000ml,0.92,Alcampo
Leche entera Dia Láctea brik 1 l,0.92,1000 ml,0.92,Dia
"Leche entera BOMILK, brik 1 litro",0.92,1 litro,0.92,Eroski
Leche entera Dia Láctea brik 6 x 1 l,5.52,6000 ml,0.92,Dia
"Leche desnatada del País Vasco EROSKI, brik 1 litro",0.94,1 litro,0.94,Eroski
"Leche semidesnatada EROSKI, botella 1,5 litros",1.44,"1,5 litros",0.96,Eroski
Leche entera sin lactosa Dia Láctea brik 6 x 1 l,5.94,6000 ml,0.99,Dia
"Leche semidesnatada del PaÍs Vasco EROSKI, brik 1 litro",0.99,1 litro,0.99,Eroski
"Leche entera sin lactosa EROSKI, brik 1 litro",0.99,1 litro,0.99,Eroski
"AUCHAN Leche entera de vaca, sin lactosa 1 l. Producto Alcampo",0.99,1000ml,0.99,Alcampo
"AUCHAN Leche entera de vaca, sin lactosa 6 x 1 l. Producto Alcampo",5.94,6000ml,0.99,Alcampo
KAIKU Leche de vaca semidesnatada y sin lactosa  1 l.,1.0,1000ml,1.0,Alcampo
"KAIKU Leche semidesnatada de vaca, sin lactosa  6 x 1l.",6.0,6000ml,1.0,Alcampo
"Leche entera EROSKI, botella 1,5 litros",1.5,"1,5 litros",1.0,Eroski
"Leche desnatada ASTURIANA, brik 1 litro",1.02,1 litro,1.02,Eroski
Leche semidesnatada Central Lechera Asturiana botella 6 x 2.2 l,13.98,13189 ml,1.06,Dia
Leche desnatada Central Lechera Asturiana brik 6 x 1 l,6.42,6000 ml,1.07,Dia
"Leche entera del País Vasco EROSKI, brik 1 litro",1.07,1 litro,1.07,Eroski
"Leche semidesnatada ASTURIANA, brik 1 litro",1.07,1 litro,1.07,Eroski
CENTRAL LECHERA ASTURIANA Leche de vaca semidesnatada de origen español 6 x 1 l.,6.42,6000ml,1.07,Alcampo
Leche fresca entera Dia Láctea botella 1 l,1.07,1000 ml,1.07,Dia
"CENTRAL LECHERA ASTURIANA Leche semidesnatada de vaca, sin lactosa, de origen española   1.5 l.",1.62,1500ml,1.08,Alcampo
"PULEVA Leche entera de vaca, sin lactosa  Mañanas ligeras 6 x 1l.",6.54,6000ml,1.09,Alcampo
"PULEVA Leche desnatada (0% materia grasa) de vaca, sin lactosa  Mañanas ligeras 1 l.",1.09,1000ml,1.09,Alcampo
"PULEVA Leche desnatada (0% materia grasa) de vaca, sin lactosa  Mañanas ligeras 6 x 1l.",6.54,6000ml,1.09,Alcampo
"PULEVA Leche semidesnatada de vaca, sin lactosa  Mañanas ligeras 6 x 1 l.",6.54,6000ml,1.09,Alcampo
"PULEVA Leche entera de vaca, sin lactosa  Mañanas ligeras 1 l.",1.09,1000ml,1.09,Alcampo
CENTRAL LECHERA ASTURIANA Leche desnatada 0% materia grasa sin lactosa  6 x 1l.,6.66,6000ml,1.11,Alcampo
"CENTRAL LECHERA ASTURIANA Leche desnatada 0% materia grasa, sin lactosa  1 l.",1.11,1000ml,1.11,Alcampo
"Leche entera ASTURIANA, brik 1 litro",1.11,1 litro,1.11,Eroski
Leche semidesnatada Central Lechera Asturiana brik 6 x 1 l,6.66,6000 ml,1.11,Dia
"PASCUAL Leche de vaca desnatada, de bienestar animal garantizado  6 x 1.5 l.",10.2,9000ml,1.13,Alcampo
"PASCUAL Leche de vaca entera, de bienestar animal garantizado 6 x 1.5 l.",10.2,9000ml,1.13,Alcampo
"PASCUAL Leche de vaca semidesnatada, de bienestar animal garantizado 6 x 1.5 l.",10.2,9000ml,1.13,Alcampo
PASCUAL Leche entera procedente de animales con bienestar garantizado 6x 1l.,6.9,6000ml,1.15,Alcampo
Leche desnatada Central Lechera Asturiana botella 6 x 1.5 l,10.32,8974 ml,1.15,Dia
Leche desnatada Central Lechera Asturiana botella 1.5 l,1.72,1496 ml,1.15,Dia
Leche entera Central Lechera Asturiana brik 6 x 1 l,6.96,6000 ml,1.16,Dia
CENTRAL LECHERA  ASTURIANA Leche de vaca semidesnatada sin lactosa 6 x 1l.,7.02,6000ml,1.17,Alcampo
"CENTRAL LECHERA ASTURIANA Leche de vaca semidesnatada sin lactosa, de origen español  1 l.",1.17,1000ml,1.17,Alcampo
