Name,Price (€),Cantidad,Uniform Price (€),Super
PRODUCTO ALCAMPO Pan de molde blanco con corteza 1000 g.,1.51,1000g,1.51,Alcampo
PRODUCTO ALCAMPO Pan de molde con corteza especial sándwich 800 g.,1.21,800g,1.51,Alcampo
Pan de molde 100% integral familiar El molino de Dia bolsa 820 g,1.25,822 g,1.52,Dia
Pan de molde formato familiar El molino de Dia bolsa 820 g,1.25,822 g,1.52,Dia
"Pan de molde con corteza EROSKI basic, paquete 820 g",1.25,820 g,1.52,Eroski
Pan de molde blanco El molino de Dia bolsa 460 g,0.85,459 g,1.85,Dia
PRODUCTO ALCAMPO Pan de molde clásico con corteza 600 g.,1.12,600g,1.87,Alcampo
"PRODUCTO ALCAMPO Pan de molde 100% integral de trigo, 0 % azúcares añadidos 460 g.",0.92,460g,2.0,Alcampo
Pan de molde 100% integral El molino de Dia bolsa 460 g,0.95,459 g,2.07,Dia
"Pan de molde de centeno-semillas EROSKI, paquete 675 g",1.45,675 g,2.15,Eroski
Pan de molde especial tostadas El molino de Dia bolsa 820 g,1.79,821 g,2.18,Dia
MILAGROS Pan de molde blanco sin corteza 450 g.,1.11,450g,2.47,Alcampo
PRODUCTO ALCAMPO Pan de molde de 12 cereales y semillas 580 g.,1.43,580g,2.47,Alcampo
"Pan de molde rebanada gruesa EROSKI, paquete 820 g",2.05,820 g,2.5,Eroski
"Pan de molde de 15 cereales-semillas EROSKI, paquete 675 g",1.69,675 g,2.5,Eroski
Pan de molde integral 15 cereales y semillas El molino de Dia bolsa 675 g,1.7,675 g,2.52,Dia
GOTRI Pan Chapatón multicereal 750 g.,1.89,750g,2.52,Alcampo
PRODUCTO ALCAMPO Pan de molde blanco sin corteza 450 g.,1.14,450g,2.53,Alcampo
"Pan de molde sin corteza EROSKI, paquete 450 g",1.2,450 g,2.67,Eroski
Pan de molde blanco sin corteza El molino de Dia bolsa 450 g,1.2,449 g,2.67,Dia
PRODUCTO ALCAMPO Pan de molde integral sin corteza 450 g.,1.29,450g,2.87,Alcampo
Pan de molde 100% integral sin corteza El molino de Dia bolsa 450 g,1.29,449 g,2.87,Dia
Pan de molde rústico El molino de Dia bolsa 600 g,1.75,599 g,2.92,Dia
BIMBO Pan de molde blanco con corteza 700 g.,2.23,700g,3.19,Alcampo
GOTRI Tradi Pan Gourmet Pan de molde con semillas y cereales 450 g.,1.49,450g,3.31,Alcampo
GOTRI Tradi Pan Gourmet Pan de molde con semillas de amapola 450 g.,1.49,450g,3.31,Alcampo
Pan de molde formato familiar Bimbo bolsa 700 g,2.35,699 g,3.36,Dia
"PRODUCTO ALCAMPO Barra de pan masa madre, con cereales y semillas 400 g.",1.46,400g,3.65,Alcampo
