Name,Price (€),Cantidad,Uniform Price (€),Super
Medio pollo troceado formato familiar Selección de Dia bandeja 800 g aprox.,3.35,800 g,4.19,Dia
"Pechuga enteras de pollo EROSKI, 3-5 uds, bandeja peso aprox. 1.1 kg",6.24,1.1 kg,5.67,Eroski
"Pechuga enteras de pollo EROSKI, 4-7 uds, bandeja aprox. 1.5 kg",8.51,1.5 kg,5.67,Eroski
AUCHAN Pechuga pollo XXL. Producto Alcampo,9.83,1700g,5.78,Alcampo
"RICURA de El Pozo Fiambre de pechuga de pavo, especial para sándwich, cortado en lonchas 400 g.",2.49,400g,6.23,Alcampo
Pechuga de pollo entera formato familiar Selección de Dia bandeja 1.1 Kg aprox.,7.03,1100 g,6.39,Dia
"Pechugas enteras de pollo 2 ud EROSKI, bandeja 580 g",3.78,580 g,6.52,Eroski
AUCHAN Pechuga de pollo 3 uds. Producto Alcampo,5.32,800g,6.65,Alcampo
"Medallón de pechuga de pollo al pimentón EROSKI, bandeja aprox. 600 g",4.17,600 g,6.95,Eroski
AUCHAN Pechuga fileteada XXL. Producto Alcampo,7.65,1100g,6.95,Alcampo
AUCHAN Pechuga de pollo filete abierta. Producto Alcampo,3.48,500g,6.95,Alcampo
AUCHAN Pechuga de pollo filete. Producto Alcampo,3.48,500g,6.95,Alcampo
Pechugas enteras de pollo Selección de Dia bandeja 600 g aprox.,4.19,599 g,6.99,Dia
"Filetes de pechuga de pollo EROSKI, bandeja peso aprox. 1 kg",7.1,1 kg,7.1,Eroski
"Filetes de pechuga pollo al ajillo EROSKI, bandeja peso aprox. 400 g",2.9,400 g,7.25,Eroski
"Pechuga de pollo, al peso, compra mínima 500 g",3.63,500 g,7.26,Eroski
Filetes de pechuga de pollo Selección de Dia bandeja 550 g aprox.,4.17,549 g,7.59,Dia
Filetes de pechuga de pollo empanada marinada Selección de Dia bandeja 350 g aprox.,2.8,350 g,7.99,Dia
Filetes de pechuga de pollo a las finas hierbas Selección de Dia bandeja 450 g aprox.,3.6,451 g,7.99,Dia
"Pechuga entera de pollo EROSKI Natur, 2-3 uds., bandeja aprox. 520 g",4.28,520 g,8.23,Eroski
"Brocheta de pechuga de pollo EROSKI , bandeja 360 g",2.99,360 g,8.31,Eroski
AUCHAN Pechuga de pollo entera 1 ud. Producto Alcampo,4.23,500g,8.45,Alcampo
"Pechugas de pollo fileteadas EROSKI Natur, bandeja aprox. 550 g",4.69,550 g,8.53,Eroski
AUCHAN Pechuga fileteada corte fino. Producto Alcampo,3.5,400g,8.75,Alcampo
AUCHAN Pechuga de pollo en tacos bandeja. Producto Alcampo,3.58,400g,8.95,Alcampo
Filetes de pechuga de pollo corte fino Selección de Dia bandeja 450 g aprox.,4.03,450 g,8.95,Dia
"Pechuga fileteada extrafina pollo EROSKI, bandeja al peso aprox. 520 g",4.67,520 g,8.98,Eroski
AUCHAN Pechuga de pollo fileteada 1 ud. Producto Alcampo,2.84,300g,9.45,Alcampo
"Pechuga de pollo EROSKI NATUR, al peso, compra mínima 500 g",4.04,500 g,9.5,Eroski
SERRANO Pechuga de pavo cortada en lonchas SERRANO 250 g.,2.45,250g,9.8,Alcampo
Pechuga de pollo Nuestra Alacena de Dia sobre 200 g,1.99,200 g,9.95,Dia
"EL POZO Fiambre de pechuga de pavo cocida, cortada en lonchas EL POZO 2 x 150 g.",2.99,300g,9.97,Alcampo
SERRANO Fiambre de pechuga de pavo cortada en finas lonchas SERRANO 2 x 160 g.,3.25,320g,10.16,Alcampo
"AUCHAN Pechuga cocida de pavo, sin gluten y sin lactosa y cortadas en lonchas 200 g. Producto Alcampo",2.08,200g,10.4,Alcampo
ALCAMPO CULTIVAMOS LO BUENO Pechugas de pollo certificado entera  bandeja,7.84,750g,10.45,Alcampo
Pechuga de pollo braseado Nuestra Alacena de Dia sobre 200 g,2.15,200 g,10.75,Dia
EL POZO Pechuga de pavo braseada lonchas finas EL POZO 115 g.,1.24,115g,10.78,Alcampo
"Filetes extrafinos de pechuga de pollo EROSKI, bandeja 320 g",3.59,320 g,11.22,Eroski
ALCAMPO CULTIVAMO LO BUENO Pechuga de pollo fileteada,7.17,600g,11.95,Alcampo
EL POZO Lonchas finas de pechuga de pollo 80 g.,0.99,80g,12.38,Alcampo
"Pechuga de pollo CAMPOFRÍO, bandeja 80 g",1.0,80 g,12.5,Eroski
EL POZO Pechuga de pavo cortada en lonchas EL POZO 225 g.,2.88,225g,12.8,Alcampo
"EL POZO Fiambre de pechuga de pollo cocida, cortada en lonchas EL POZO 225 g.",2.88,225g,12.8,Alcampo
ALCAMPO CULTIVAMOS LO BUENO Pechuga de pollo certificado cortada en filetes finos  Bandeja,4.53,350g,12.95,Alcampo
ALCAMPO CULTIVAMOS LO BUENO Pechugas de pollo campero sin piel  Bandeja,7.77,600g,12.95,Alcampo
CAMPOFRÍO Pechuga de pavo cortada en lonchas 75 g.,0.98,75g,13.07,Alcampo
"CAMPOFRÍO Pechuga de pavo con sabor ahumado, cortada en lonchas 75 g.",0.98,75g,13.07,Alcampo
AUCHAN Pechuga de pavo braseada cortada en lonchas finas 150 g. Producto Alcampo,1.99,150g,13.27,Alcampo
"AUCHAN Pechuga de pollo cocida con sabor ahumado, cortada en finas lonchas 150 g. Producto Alcampo",1.99,150g,13.27,Alcampo
"Pechuga de pollo al horno EROSKI, al corte, compra mínima 100 g",1.33,100 g,13.3,Eroski
"Pechuga fileteada de pollo campero EROSKI NATUR, bandeja aprox. 550 g",7.65,550 g,13.91,Eroski
ALCAMPO CULTIVAMOS LO BUENO  Pechuga de pollo campero fileteada Bandeja.,6.98,500g,13.95,Alcampo
AUCHAN Pechuga de pavo (70% carne) cocida y cortada en finas lonchas 150 g. Producto Alcampo,2.1,150g,14.0,Alcampo
"Pechuga de pollo con bechamel GESALAGA, al peso, compra mínima 250 g",3.67,250 g,14.68,Eroski
EL POZO + Proteínas Pechuga de pavo cortada en lonchas y con alto contenido en proteina 130 g.,1.95,130g,15.0,Alcampo
"Filetes extrafinos pechuga pollo campero E. NATUR, bandeja 280 g",4.2,280 g,15.0,Eroski
EL POZO + Proteínas Pechuga de pollo cortada en lonchas y con alto contenido en proteina 130 g.,1.95,130g,15.0,Alcampo
EL POZO Pechuga de pavo 100% natural EL POZO bienstar 130 g.,1.98,130g,15.23,Alcampo
"Pechuga pollo +proteinas ELPOZO, lonchas finas, bandeja 130 g",2.0,130 g,15.38,Eroski
Pechuga de pollo + proteínas Elpozo Bienstar sobre 130 g,2.0,130 g,15.38,Dia
EL POZO Pechuga de pollo braseada cortada en finas 115 g.,1.79,115g,15.57,Alcampo
ROLER La carniceria Pechuga de pollo en filetes extrafinos 320 g.,4.99,320g,15.59,Alcampo
Tiras de pechuga de pollo asado La pila bandeja 125 g,1.95,125 g,15.6,Dia
CAMPOFRÍO Pechuga de pavo braseada cortada en lonchas CAMPOFRÍO Finissimas 115 g.,1.85,115g,16.09,Alcampo
CAMPOFRÍO Pechuga de pavo cocida cortada en lonchas CAMPOFRÍO Finissimas 115 g.,1.85,115g,16.09,Alcampo
CAMPOFRÍO Pechuga de pavo cocida cortada en finas lonchas CAMPOFRÍO Finissimas 170 g.,2.75,170g,16.18,Alcampo
ALCAMPO CULTIVAMOS LO BUENO Filetes de pechuga de pollo extra tierna  Gramos Aproximados,4.95,300g,16.5,Alcampo
CAMPOFRÍO Pechuga de pavo braseada cortada en finas lonchas CAMPOFRÍO Finissimas 170 g.,2.88,170g,16.94,Alcampo
ARGAL Bonnatur Pechuga de pavo cortada en lonchas 115 g.,1.99,115g,17.3,Alcampo
"ALCAMPO GOURMET Pechuga de pollo asada sabor ahumado, cortada en lonchas ALCAMPO GOURMET 150 g.",2.79,150g,18.6,Alcampo
"ALCAMPO GOURMET Pechuga de pavo asada sabor ahumado, cortada en lonchas ALCAMPO GOURMET 150 g.",2.79,150g,18.6,Alcampo
CAMPOFRÍO Pechuga de pavo reducida en sal y cortada en finas lonchas CAMPOFRÍO Cuida-t 115 g.,2.19,115g,19.04,Alcampo
"LEGADO de El Pozo Pechuga de pollo asada con madera de Haya, cortada en lonchas 120 g.",2.29,120g,19.08,Alcampo
LEGADO de El Pozo Pechuga de pavo asada con madera de Haya y cortada en lonchas 120 g.,2.29,120g,19.08,Alcampo
Pechuguitas de pollo asada La carloteña bandeja 100 g,1.99,100 g,19.9,Dia
ARGAL Bonnatur Pechuga de pavo cortada en lonchas finas 115 G.,2.34,115g,20.35,Alcampo
EL POZO Corte fresco 1954 Pechuga de pavo cortada en finas lonchas 120 g.,2.45,120g,20.42,Alcampo
"Pechuga de pollo al natural EROSKI, pack 2x52 g",2.29,2x52 g,22.12,Eroski
"LA CARLOTEÑA Pechuga de pollo asada al horno, sin gluten y cortada en finas lonchas 125 g.",2.84,125g,22.72,Alcampo
ARGAL de Bonnatur pechuga de pavo asada 100 g.,2.34,100g,23.4,Alcampo
COREN Bandeja de pechuga de pollo ecológico.,12.0,400g,29.99,Alcampo
COREN Bandeja de pechuga de pollo ecológico fileteada.,10.85,350g,30.99,Alcampo
